id,rank,common_name,french_name,order,family,subfamily,genus,species,annotation,status_accidental,status_hawaiian,status_introduced,status_nonbreeding,status_extinct,status_misplaced
2,species,Highland Tinamou,Tinamou de Bonaparte,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,"","","","","","",""
1,species,Great Tinamou,Grand Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,"","","","","","",""
3,species,Little Tinamou,Tinamou soui,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,"","","","","","",""
4,species,Thicket Tinamou,Tinamou cannelle,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,"","","","","","",""
5,species,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,"","","","","","",""
6,species,Choco Tinamou,Tinamou de Kerr,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Monotypic.,"","","","","",""
7,species,White-faced Whistling-Duck,Dendrocygne veuf,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Monotypic.,"","","","","",""
8,species,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,"","","","","","",""
9,species,West Indian Whistling-Duck,Dendrocygne des Antilles,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Monotypic.,"","","","","",""
10,species,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Monotypic.,"","","","","",""
11,species,Taiga Bean-Goose,Oie des moissons,Anseriformes,Anatidae,Anserinae,Anser,Anser fabalis,"",A,"","","","",""
12,species,Tundra Bean-Goose,Oie de la toundra,Anseriformes,Anatidae,Anserinae,Anser,Anser serrirostris,"",A,"","","","",""
13,species,Pink-footed Goose,Oie à bec court,Anseriformes,Anatidae,Anserinae,Anser,Anser brachyrhynchus,Monotypic. Considered subspecies of <i>A. fabalis</i> by Peters (1979).,A,"","","","",""
14,species,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anserinae,Anser,Anser albifrons,"","","","","","",""
15,species,Lesser White-fronted Goose,Oie naine,Anseriformes,Anatidae,Anserinae,Anser,Anser erythropus,Monotypic.,A,"","","","",""
2049,species,Graylag Goose,Oie cendrée,Anseriformes,Anatidae,Anserinae,Anser,Anser anser,"",A,"","","","",""
16,species,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anserinae,Chen,Chen canagica,Monotypic.,"","","","","",""
17,species,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anserinae,Chen,Chen caerulescens,"","","","","","",""
18,species,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anserinae,Chen,Chen rossii,Monotypic.,"","","","","",""
19,species,Brant,Bernache cravant,Anseriformes,Anatidae,Anserinae,Branta,Branta bernicla,"","","","","","",""
20,species,Barnacle Goose,Bernache nonnette,Anseriformes,Anatidae,Anserinae,Branta,Branta leucopsis,Monotypic.,A,"","","","",""
21,species,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Anserinae,Branta,Branta hutchinsii,"","","","","","",""
22,species,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Anserinae,Branta,Branta canadensis,"","","","","","",""
23,species,Hawaiian Goose,Bernache néné,Anseriformes,Anatidae,Anserinae,Branta,Branta sandvicensis,Monotypic.,"",H,"","","",""
24,species,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus olor,Monotypic.,"","",I,"","",""
25,species,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus buccinator,Monotypic.,"","","","","",""
26,species,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus columbianus,"","","","","","",""
27,species,Whooper Swan,Cygne chanteur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus cygnus,Monotypic.,"","","","","",""
28,species,Comb Duck,Canard à bosse,Anseriformes,Anatidae,Tadorninae,Sarkidiornis,Sarkidiornis melanotos,"","","","","","",""
29,species,Orinoco Goose,Ouette de l'Orénoque,Anseriformes,Anatidae,Tadorninae,Neochen,Neochen jubata,Monotypic.,A,"","","","",""
30,species,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Anatinae,Cairina,Cairina moschata,Monotypic.,"","","","","",""
31,species,Wood Duck,Canard branchu,Anseriformes,Anatidae,Anatinae,Aix,Aix sponsa,Monotypic.,"","","","","",""
32,species,Gadwall,Canard chipeau,Anseriformes,Anatidae,Anatinae,Anas,Anas strepera,"No extant subspecies. Peters (1979), Clements (2000), and Howard and Moore (2003) recognize <i>Anas strepera couesi</i>, now extinct.","","","","","",""
33,species,Falcated Duck,Canard à faucilles,Anseriformes,Anatidae,Anatinae,Anas,Anas falcata,Monotypic.,A,"","","","",""
34,species,Eurasian Wigeon,Canard siffleur,Anseriformes,Anatidae,Anatinae,Anas,Anas penelope,Monotypic.,"","","",N,"",""
35,species,American Wigeon,Canard d'Amérique,Anseriformes,Anatidae,Anatinae,Anas,Anas americana,Monotypic.,"","","","","",""
36,species,American Black Duck,Canard noir,Anseriformes,Anatidae,Anatinae,Anas,Anas rubripes,Monotypic.,"","","","","",""
37,species,Mallard,Canard colvert,Anseriformes,Anatidae,Anatinae,Anas,Anas platyrhynchos,Monotypic.,"","","","","",""
38,species,Mottled Duck,Canard brun,Anseriformes,Anatidae,Anatinae,Anas,Anas fulvigula,"","","","","","",""
39,species,Hawaiian Duck,Canard des Hawaï,Anseriformes,Anatidae,Anatinae,Anas,Anas wyvilliana,Monotypic. Listed as a subspecies of <i>Anas platyrhynchos</i> by Peters (1979) and del Hoyo et al. (1992).,"",H,"","","",""
40,species,Laysan Duck,Canard de Laysan,Anseriformes,Anatidae,Anatinae,Anas,Anas laysanensis,Monotypic. Listed as a subspecies of <i>Anas platyrhynchos</i> by Peters (1979) and del Hoyo et al. (1992).,"",H,"","","",""
41,species,Eastern Spot-billed Duck,Canard de Chine,Anseriformes,Anatidae,Anatinae,Anas,Anas zonorhyncha,"Recognized as a subspecies of <i>Anas poecilorhynchas</i> by Peters (1979), del Hoyo et al. (1992), Clements (2000), and Howard and Moore (2003).",A,"","","","",""
42,species,Blue-winged Teal,Sarcelle à ailes bleues,Anseriformes,Anatidae,Anatinae,Anas,Anas discors,"Monotypic. <i>Anas discors orphna</i> recognized by AOU 1957, but validity doubtful.","","","","","",""
43,species,Cinnamon Teal,Sarcelle cannelle,Anseriformes,Anatidae,Anatinae,Anas,Anas cyanoptera,"","","","","","",""
44,species,Northern Shoveler,Canard souchet,Anseriformes,Anatidae,Anatinae,Anas,Anas clypeata,Monotypic.,"","","","","",""
45,species,White-cheeked Pintail,Canard des Bahamas,Anseriformes,Anatidae,Anatinae,Anas,Anas bahamensis,"","","","","","",""
46,species,Northern Pintail,Canard pilet,Anseriformes,Anatidae,Anatinae,Anas,Anas acuta,"Recognized as a monotypic by AOU (1957), Clements (2000), and Howard and Moore (2003). Subspecies <i>Anas acuta acuta, A. a. eatoni</i>, and <i>A. a. ...","","","","","",""
47,species,Garganey,Sarcelle d'été,Anseriformes,Anatidae,Anatinae,Anas,Anas querquedula,Monotypic.,"","","",N,"",""
48,species,Baikal Teal,Sarcelle élégante,Anseriformes,Anatidae,Anatinae,Anas,Anas formosa,Monotypic.,A,"","","","",""
49,species,Green-winged Teal,Sarcelle d'hiver,Anseriformes,Anatidae,Anatinae,Anas,Anas crecca,"","","","","","",""
50,species,Canvasback,Fuligule à dos blanc,Anseriformes,Anatidae,Anatinae,Aythya,Aythya valisineria,Monotypic.,"","","","","",""
51,species,Redhead,Fuligule à tête rouge,Anseriformes,Anatidae,Anatinae,Aythya,Aythya americana,Monotypic.,"","","","","",""
52,species,Common Pochard,Fuligule milouin,Anseriformes,Anatidae,Anatinae,Aythya,Aythya ferina,Monotypic.,A,"","","","",""
53,species,Ring-necked Duck,Fuligule à collier,Anseriformes,Anatidae,Anatinae,Aythya,Aythya collaris,Monotypic.,"","","","","",""
54,species,Tufted Duck,Fuligule morillon,Anseriformes,Anatidae,Anatinae,Aythya,Aythya fuligula,Monotypic.,"","","","","",""
55,species,Greater Scaup,Fuligule milouinan,Anseriformes,Anatidae,Anatinae,Aythya,Aythya marila,"","","","","","",""
56,species,Lesser Scaup,Petit Fuligule,Anseriformes,Anatidae,Anatinae,Aythya,Aythya affinis,Monotypic.,"","","","","",""
57,species,Steller's Eider,Eider de Steller,Anseriformes,Anatidae,Anatinae,Polysticta,Polysticta stelleri,Monotypic.,"","","","","",""
58,species,Spectacled Eider,Eider à lunettes,Anseriformes,Anatidae,Anatinae,Somateria,Somateria fischeri,Monotypic.,"","","","","",""
59,species,King Eider,Eider à tête grise,Anseriformes,Anatidae,Anatinae,Somateria,Somateria spectabilis,Monotypic.,"","","","","",""
60,species,Common Eider,Eider à duvet,Anseriformes,Anatidae,Anatinae,Somateria,Somateria mollissima,"","","","","","",""
61,species,Harlequin Duck,Arlequin plongeur,Anseriformes,Anatidae,Anatinae,Histrionicus,Histrionicus histrionicus,Monotypic. Howard and Moore (2003) list subspecies <i>H. h. histionicus</i> and <i>H. h. pacificus</i> but validity doubtful.,"","","","","",""
62,species,Labrador Duck,Eider du Labrador,Anseriformes,Anatidae,Anatinae,Camptorhynchus,Camptorhynchus labradorius,Monotypic.,"","","","",†,""
63,species,Surf Scoter,Macreuse à front blanc,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta perspicillata,Monotypic.,"","","","","",""
64,species,White-winged Scoter,Macreuse brune,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta fusca,"","","","","","",""
65,species,Black Scoter,Macreuse à bec jaune,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta americana,"","","","","","",""
66,species,Long-tailed Duck,Harelde kakawi,Anseriformes,Anatidae,Anatinae,Clangula,Clangula hyemalis,Monotypic.,"","","","","",""
67,species,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala albeola,Monotypic.,"","","","","",""
68,species,Common Goldeneye,Garrot à oeil d'or,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala clangula,"","","","","","",""
69,species,Barrow's Goldeneye,Garrot d'Islande,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala islandica,Monotypic.,"","","","","",""
70,species,Smew,Harle piette,Anseriformes,Anatidae,Anatinae,Mergellus,Mergellus albellus,Monotypic.,"","","",N,"",""
71,species,Hooded Merganser,Harle couronné,Anseriformes,Anatidae,Anatinae,Lophodytes,Lophodytes cucullatus,"Monotypic.
","","","","","",""
72,species,Common Merganser,Grand Harle,Anseriformes,Anatidae,Anatinae,Mergus,Mergus merganser,"","","","","","",""
73,species,Red-breasted Merganser,Harle huppé,Anseriformes,Anatidae,Anatinae,Mergus,Mergus serrator,Monotypic.,"","","","","",""
74,species,Masked Duck,Érismature routoutou,Anseriformes,Anatidae,Anatinae,Nomonyx,Nomonyx dominicus,Monotypic.,"","","","","",""
75,species,Ruddy Duck,Érismature rousse,Anseriformes,Anatidae,Anatinae,Oxyura,Oxyura jamaicensis,"","","","","","",""
76,species,Plain Chachalaca,Ortalide chacamel,Galliformes,Cracidae,,Ortalis,Ortalis vetula,"","","","","","",""
77,species,Gray-headed Chachalaca,Ortalide à tête grise,Galliformes,Cracidae,,Ortalis,Ortalis cinereiceps,Monotypic.,"","","","","",""
78,species,Rufous-vented Chachalaca,Ortalide à ventre roux,Galliformes,Cracidae,,Ortalis,Ortalis ruficauda,"","","","","","",""
79,species,Rufous-bellied Chachalaca,Ortalide à ventre marron,Galliformes,Cracidae,,Ortalis,Ortalis wagleri,Monotypic.,"","","","","",""
80,species,West Mexican Chachalaca,Ortalide de Wagler,Galliformes,Cracidae,,Ortalis,Ortalis poliocephala,Monotypic.,"","","","","",""
81,species,White-bellied Chachalaca,Ortalide à ventre blanc,Galliformes,Cracidae,,Ortalis,Ortalis leucogastra,Monotypic.,"","","","","",""
82,species,Crested Guan,Pénélope panachée,Galliformes,Cracidae,,Penelope,Penelope purpurascens,"","","","","","",""
83,species,Black Guan,Pénélope unicolore,Galliformes,Cracidae,,Chamaepetes,Chamaepetes unicolor,Monotypic.,"","","","","",""
84,species,Highland Guan,Pénélope pajuil,Galliformes,Cracidae,,Penelopina,Penelopina nigra,Monotypic.,"","","","","",""
85,species,Horned Guan,Oréophase cornu,Galliformes,Cracidae,,Oreophasis,Oreophasis derbianus,Monotypic.,"","","","","",""
86,species,Great Curassow,Grand Hocco,Galliformes,Cracidae,,Crax,Crax rubra,"","","","","","",""
112,species,Helmeted Guineafowl,Pintade de Numidie,Galliformes,Numididae,,Numida,Numida meleagris,"","","",I,"","",""
113,species,Bearded Wood-Partridge,Colin barbu,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx barbatus,Monotypic.,"","","","","",""
114,species,Long-tailed Wood-Partridge,Colin à longue queue,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx macroura,"","","","","","",""
115,species,Buffy-crowned Wood-Partridge,Colin à sourcils blancs,Galliformes,Odontophoridae,,Dendrortyx,Dendrortyx leucophrys,"","","","","","",""
116,species,Mountain Quail,Colin des montagnes,Galliformes,Odontophoridae,,Oreortyx,Oreortyx pictus,"","","","","","",""
117,species,Scaled Quail,Colin écaillé,Galliformes,Odontophoridae,,Callipepla,Callipepla squamata,"","","","","","",""
118,species,Elegant Quail,Colin élégant,Galliformes,Odontophoridae,,Callipepla,Callipepla douglasii,"","","","","","",""
119,species,California Quail,Colin de Californie,Galliformes,Odontophoridae,,Callipepla,Callipepla californica,"","","","","","",""
120,species,Gambel's Quail,Colin de Gambel,Galliformes,Odontophoridae,,Callipepla,Callipepla gambelii,"","","","","","",""
121,species,Banded Quail,Colin barré,Galliformes,Odontophoridae,,Philortyx,Philortyx fasciatus,Monotypic.,"","","","","",""
122,species,Northern Bobwhite,Colin de Virginie,Galliformes,Odontophoridae,,Colinus,Colinus virginianus,"","","","","","",""
123,species,Black-throated Bobwhite,Colin à gorge noire,Galliformes,Odontophoridae,,Colinus,Colinus nigrogularis,"","","","","","",""
124,species,Crested Bobwhite,Colin huppé,Galliformes,Odontophoridae,,Colinus,Colinus cristatus,"","","","","","",""
125,species,Marbled Wood-Quail,Tocro de Guyane,Galliformes,Odontophoridae,,Odontophorus,Odontophorus gujanensis,"","","","","","",""
126,species,Black-eared Wood-Quail,Tocro à face noire,Galliformes,Odontophoridae,,Odontophorus,Odontophorus melanotis,"","","","","","",""
127,species,Tacarcuna Wood-Quail,Tocro du Panama,Galliformes,Odontophoridae,,Odontophorus,Odontophorus dialeucos,Monotypic.,"","","","","",""
128,species,Black-breasted Wood-Quail,Tocro à poitrine noire,Galliformes,Odontophoridae,,Odontophorus,Odontophorus leucolaemus,Monotypic.,"","","","","",""
129,species,Spotted Wood-Quail,Tocro tacheté,Galliformes,Odontophoridae,,Odontophorus,Odontophorus guttatus,Monotypic.,"","","","","",""
130,species,Singing Quail,Colin chanteur,Galliformes,Odontophoridae,,Dactylortyx,Dactylortyx thoracicus,"","","","","","",""
131,species,Montezuma Quail,Colin arlequin,Galliformes,Odontophoridae,,Cyrtonyx,Cyrtonyx montezumae,"","","","","","",""
132,species,Ocellated Quail,Colin ocellé,Galliformes,Odontophoridae,,Cyrtonyx,Cyrtonyx ocellatus,Monotypic.,"","","","","",""
133,species,Tawny-faced Quail,Colin ceinturé,Galliformes,Odontophoridae,,Rhynchortyx,Rhynchortyx cinctus,"","","","","","",""
87,species,Chukar,Perdrix choukar,Galliformes,Phasianidae,Phasianinae,Alectoris,Alectoris chukar,"","","",I,"","",""
88,species,Gray Francolin,Francolin gris,Galliformes,Phasianidae,Phasianinae,Francolinus,Francolinus pondicerianus,"","",H,I,"","",""
89,species,Black Francolin,Francolin noir,Galliformes,Phasianidae,Phasianinae,Francolinus,Francolinus francolinus,"","",H,I,"","",""
90,species,Erckel's Francolin,Francolin d'Erckel,Galliformes,Phasianidae,Phasianinae,Francolinus,Francolinus erckelii,Monotypic.,"",H,I,"","",""
91,species,Himalayan Snowcock,Tétraogalle de l'Himalaya,Galliformes,Phasianidae,Phasianinae,Tetraogallus,Tetraogallus himalayensis,"","","",I,"","",""
92,species,Gray Partridge,Perdrix grise,Galliformes,Phasianidae,Phasianinae,Perdix,Perdix perdix,"","","",I,"","",""
93,species,Japanese Quail,Caille du Japon,Galliformes,Phasianidae,Phasianinae,Coturnix,Coturnix japonica,Monotypic.,"",H,I,"","",""
94,species,Red Junglefowl,Coq bankiva,Galliformes,Phasianidae,Phasianinae,Gallus,Gallus gallus,"","",H,I,"","",""
95,species,Kalij Pheasant,Faisan leucomèle,Galliformes,Phasianidae,Phasianinae,Lophura,Lophura leucomelanos,"","",H,I,"","",""
96,species,Ring-necked Pheasant,Faisan de Colchide,Galliformes,Phasianidae,Phasianinae,Phasianus,Phasianus colchicus,"","","",I,"","",""
97,species,Indian Peafowl,Paon bleu,Galliformes,Phasianidae,Phasianinae,Pavo,Pavo cristatus,Monotypic. Formerly known as Common Peafowl.,"","",I,"","",""
98,species,Ruffed Grouse,Gélinotte huppée,Galliformes,Phasianidae,Tetraoninae,Bonasa,Bonasa umbellus,"","","","","","",""
99,species,Greater Sage-Grouse,Tétras des armoises,Galliformes,Phasianidae,Tetraoninae,Centrocercus,Centrocercus urophasianus,"","","","","","",""
100,species,Gunnison Sage-Grouse,Tétras du Gunnison,Galliformes,Phasianidae,Tetraoninae,Centrocercus,Centrocercus minimus,Monotypic.,"","","","","",""
101,species,Spruce Grouse,Tétras du Canada,Galliformes,Phasianidae,Tetraoninae,Falcipennis,Falcipennis canadensis,"","","","","","",""
102,species,Willow Ptarmigan,Lagopède des saules,Galliformes,Phasianidae,Tetraoninae,Lagopus,Lagopus lagopus,"","","","","","",""
103,species,Rock Ptarmigan,Lagopède alpin,Galliformes,Phasianidae,Tetraoninae,Lagopus,Lagopus muta,"","","","","","",""
104,species,White-tailed Ptarmigan,Lagopède à queue blanche,Galliformes,Phasianidae,Tetraoninae,Lagopus,Lagopus leucura,"","","","","","",""
105,species,Dusky Grouse,Tétras sombre,Galliformes,Phasianidae,Tetraoninae,Dendragapus,Dendragapus obscurus,"","","","","","",""
106,species,Sooty Grouse,Tétras fuligineux,Galliformes,Phasianidae,Tetraoninae,Dendragapus,Dendragapus fuliginosus,Monotypic.,"","","","","",""
107,species,Sharp-tailed Grouse,Tétras à queue fine,Galliformes,Phasianidae,Tetraoninae,Tympanuchus,Tympanuchus phasianellus,"","","","","","",""
108,species,Greater Prairie-Chicken,Tétras des prairies,Galliformes,Phasianidae,Tetraoninae,Tympanuchus,Tympanuchus cupido,"","","","","","",""
109,species,Lesser Prairie-Chicken,Tétras pâle,Galliformes,Phasianidae,Tetraoninae,Tympanuchus,Tympanuchus pallidicinctus,Monotypic.,"","","","","",""
110,species,Wild Turkey,Dindon sauvage,Galliformes,Phasianidae,Meleagridinae,Meleagris,Meleagris gallopavo,"","","","","","",""
111,species,Ocellated Turkey,Dindon ocellé,Galliformes,Phasianidae,Meleagridinae,Meleagris,Meleagris ocellata,Monotypic.,"","","","","",""
134,species,Red-throated Loon,Plongeon catmarin,Gaviiformes,Gaviidae,,Gavia,Gavia stellata,Monotypic.,"","","","","",""
2000,species,Arctic Loon,Plongeon arctique,Gaviiformes,Gaviidae,,Gavia,Gavia arctica,"","","","","","",""
135,species,Pacific Loon,Plongeon du Pacifique,Gaviiformes,Gaviidae,,Gavia,Gavia pacifica,"Monotypic. Considered subspecies of <i>G. arctica</i> by AOU (1957), Peters (1979), and del Hoyo, et al. (1992).","","","","","",""
136,species,Common Loon,Plongeon huard,Gaviiformes,Gaviidae,,Gavia,Gavia immer,"Monotypic.
","","","","","",""
137,species,Yellow-billed Loon,Plongeon à bec blanc,Gaviiformes,Gaviidae,,Gavia,Gavia adamsii,Monotypic.,"","","","","",""
1984,species,Least Grebe,Grèbe minime,Podicipediformes,Podicipedidae,,Tachybaptus,Tachybaptus dominicus,"","","","","","",""
138,species,Pied-billed Grebe,Grèbe à bec bigarré,Podicipediformes,Podicipedidae,,Podilymbus,Podilymbus podiceps,"","","","","","",""
139,species,Atitlan Grebe,Grèbe de l'Atitlan,Podicipediformes,Podicipedidae,,Podilymbus,Podilymbus gigas,Monotypic.,"","","","",†,""
1986,species,Horned Grebe,Grèbe esclavon,Podicipediformes,Podicipedidae,,Podiceps,Podiceps auritus,"","","","","","",""
1987,species,Red-necked Grebe,Grèbe jougris,Podicipediformes,Podicipedidae,,Podiceps,Podiceps grisegena,"","","","","","",""
1985,species,Eared Grebe,Grèbe à cou noir,Podicipediformes,Podicipedidae,,Podiceps,Podiceps nigricollis,"","","","","","",""
140,species,Western Grebe,Grèbe élégant,Podicipediformes,Podicipedidae,,Aechmophorus,Aechmophorus occidentalis,"","","","","","",""
141,species,Clark's Grebe,Grèbe à face blanche,Podicipediformes,Podicipedidae,,Aechmophorus,Aechmophorus clarkii,"","","","","","",""
254,species,American Flamingo,Flamant des Caraïbes,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,Phoenicopterus ruber,"","","","","","",""
142,species,Yellow-nosed Albatross,Albatros à nez jaune,Procellariiformes,Diomedeidae,,Thalassarche,Thalassarche chlororhynchos,"",A,"","","","",""
143,species,Shy Albatross,Albatros à cape blanche,Procellariiformes,Diomedeidae,,Thalassarche,Thalassarche cauta,"",A,"","","","",""
2004,species,Black-browed Albatross,Albatros à sourcils noirs,Procellariiformes,Diomedeidae,,Thalassarche,Thalassarche melanophris,"",A,"","","","",""
144,species,Light-mantled Albatross,Albatros fuligineux,Procellariiformes,Diomedeidae,,Phoebetria,Phoebetria palpebrata,Monotypic.,A,"","","","",""
145,species,Wandering Albatross,Albatros hurleur,Procellariiformes,Diomedeidae,,Diomedea,Diomedea exulans,"",A,"","","","",""
146,species,Laysan Albatross,Albatros de Laysan,Procellariiformes,Diomedeidae,,Phoebastria,Phoebastria immutabilis,Monotypic.,"","","","","",""
147,species,Black-footed Albatross,Albatros à pieds noirs,Procellariiformes,Diomedeidae,,Phoebastria,Phoebastria nigripes,Monotypic.,"","","","","",""
148,species,Short-tailed Albatross,Albatros à queue courte,Procellariiformes,Diomedeidae,,Phoebastria,Phoebastria albatrus,Monotypic.,"","","",N,"",""
1983,species,Northern Fulmar,Fulmar boréal,Procellariiformes,Procellariidae,,Fulmarus,Fulmarus glacialis,"","","","","","",""
149,species,Great-winged Petrel,Pétrel noir,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma macroptera,"",A,"","","","",""
10601,species,Providence Petrel,Pétrel de Solander,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma solandri,Also known as Solander’s Petrel.,A,"","","","",""
150,species,Kermadec Petrel,Pétrel des Kermadec,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma neglecta,"",A,"","","","",""
151,species,Herald Petrel,Pétrel de la Trinité du Sud,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma arminjoniana,"",A,"","","","",""
152,species,Murphy's Petrel,Pétrel de Murphy,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma ultima,Monotypic.,"","","",N,"",""
153,species,Mottled Petrel,Pétrel maculé,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma inexpectata,Monotypic.,A,"","","","",""
154,species,Bermuda Petrel,Pétrel des Bermudes,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma cahow,Monotypic.,"","","","","",""
1981,species,Black-capped Petrel,Pétrel diablotin,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma hasitata,"","","","","","",""
155,species,Juan Fernandez Petrel,Pétrel de Juan Fernandez,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma externa,Monotypic.,"","","",N,"",""
156,species,Galapagos Petrel,Pétrel des Galapagos,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma phaeopygia,"","","","",N,"",""
157,species,Hawaiian Petrel,Pétrel des Hawaï,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma sandwichensis,"","","","","","",""
158,species,White-necked Petrel,Pétrel à col blanc,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma cervicalis,Monotypic.,"",H,"","","",""
159,species,Bonin Petrel,Pétrel des Bonin,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma hypoleuca,Monotypic.,"",H,"","","",""
160,species,Black-winged Petrel,Pétrel à ailes noires,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma nigripennis,Monotypic.,A,H,"","","",""
10611,species,Fea's Petrel,Pétrel gongon,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma feae,Also known as Cape Verde Petrel.,A,"","","","",""
161,species,Cook's Petrel,Pétrel de Cook,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma cookii,Monotypic.,"","","",N,"",""
162,species,Stejneger's Petrel,Pétrel de Stejneger,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma longirostris,Monotypic.,A,"","","","",""
2071,species,Tahiti Petrel,Pétrel de Tahiti,Procellariiformes,Procellariidae,,Pterodroma,Pterodroma rostrata,"",A,"","","","",""
163,species,Bulwer's Petrel,Pétrel de Bulwer,Procellariiformes,Procellariidae,,Bulweria,Bulweria bulwerii,Monotypic.,"","","","","",""
164,species,Jouanin's Petrel,Pétrel de Jouanin,Procellariiformes,Procellariidae,,Bulweria,Bulweria fallax,Monotypic.,A,H,"","","",""
2072,species,White-chinned Petrel,Puffin à menton blanc,Procellariiformes,Procellariidae,,Procellaria,Procellaria aequinoctialis,"",A,"","","","",""
165,species,Parkinson's Petrel,Puffin de Parkinson,Procellariiformes,Procellariidae,,Procellaria,Procellaria parkinsoni,Monotypic.,"","","",N,"",""
166,species,Streaked Shearwater,Puffin leucomèle,Procellariiformes,Procellariidae,,Calonectris,Calonectris leucomelas,Monotypic.,A,"","","","",""
167,species,Cory's Shearwater,Puffin cendré,Procellariiformes,Procellariidae,,Calonectris,Calonectris diomedea,"","","","",N,"",""
168,species,Cape Verde Shearwater,Puffin du Cap-Vert,Procellariiformes,Procellariidae,,Calonectris,Calonectris edwardsii,Monotypic.,A,"","","","",""
169,species,Pink-footed Shearwater,Puffin à pieds roses,Procellariiformes,Procellariidae,,Puffinus,Puffinus creatopus,Monotypic.,"","","",N,"",""
170,species,Flesh-footed Shearwater,Puffin à pieds pâles,Procellariiformes,Procellariidae,,Puffinus,Puffinus carneipes,Monotypic.,"","","",N,"",""
171,species,Great Shearwater,Puffin majeur,Procellariiformes,Procellariidae,,Puffinus,Puffinus gravis,Monotypic.,"","","",N,"",""
172,species,Wedge-tailed Shearwater,Puffin fouquet,Procellariiformes,Procellariidae,,Puffinus,Puffinus pacificus,Monotypic.,"","","","","",""
173,species,Buller's Shearwater,Puffin de Buller,Procellariiformes,Procellariidae,,Puffinus,Puffinus bulleri,Monotypic.,"","","",N,"",""
174,species,Sooty Shearwater,Puffin fuligineux,Procellariiformes,Procellariidae,,Puffinus,Puffinus griseus,Monotypic.,"","","",N,"",""
175,species,Short-tailed Shearwater,Puffin à bec grêle,Procellariiformes,Procellariidae,,Puffinus,Puffinus tenuirostris,Monotypic.,"","","",N,"",""
176,species,Christmas Shearwater,Puffin de la Nativité,Procellariiformes,Procellariidae,,Puffinus,Puffinus nativitatis,Monotypic.,"","","","","",""
9641,species,Galapagos Shearwater,Puffin des Galapagos,Procellariiformes,Procellariidae,,Puffinus,Puffinus subalaris,"","","","",N,"",""
177,species,Manx Shearwater,Puffin des Anglais,Procellariiformes,Procellariidae,,Puffinus,Puffinus puffinus,Monotypic.,"","","","","",""
